iter	Passed	Remaining
0	148	148022
1	149	74696
2	151	50250
3	152	38001
4	154	30647
5	155	25751
6	157	22309
7	159	19736
8	161	17732
9	162	16090
10	164	14751
11	165	13615
12	166	12669
13	168	11841
14	169	11116
15	170	10482
16	172	9999
17	174	9505
18	175	9073
19	177	8679
20	178	8320
21	179	7983
22	180	7678
23	181	7399
24	183	7139
25	184	6898
26	185	6685
27	187	6499
28	188	6306
29	189	6129
30	190	5960
31	191	5805
32	193	5659
33	194	5521
34	195	5391
35	196	5267
36	197	5150
37	199	5040
38	200	4949
39	202	4854
40	203	4757
41	204	4666
42	205	4580
43	206	4496
44	208	4415
45	209	4339
46	210	4264
47	211	4193
48	212	4132
49	214	4068
50	215	4015
51	217	3957
52	218	3900
53	219	3844
54	220	3789
55	221	3737
56	222	3687
57	224	3638
58	225	3591
59	226	3555
60	228	3514
61	230	3481
62	231	3442
63	232	3402
64	233	3363
65	234	3324
66	236	3286
67	237	3249
68	238	3215
69	239	3182
70	240	3153
71	242	3121
72	243	3093
73	244	3063
74	245	3033
75	247	3004
76	248	2980
77	249	2954
78	251	2930
79	252	2904
80	255	2896
81	256	2872
82	257	2842
83	258	2821
84	259	2798
85	261	2775
86	262	2751
87	263	2729
88	264	2707
89	265	2684
90	266	2664
91	268	2646
92	269	2626
93	270	2606
94	271	2587
95	273	2571
96	274	2553
97	275	2534
98	276	2516
99	277	2500
100	278	2483
101	280	2469
102	282	2456
103	283	2442
104	285	2429
105	286	2419
106	288	2406
107	289	2395
108	291	2382
109	292	2368
110	293	2354
111	295	2343
112	296	2328
113	297	2314
114	299	2301
115	300	2287
116	301	2274
117	302	2262
118	304	2251
119	305	2237
120	306	2225
121	307	2211
122	308	2201
123	309	2189
124	311	2177
125	312	2166
126	313	2154
127	314	2145
128	316	2136
129	317	2125
130	318	2114
131	319	2103
132	322	2100
133	323	2092
134	325	2086
135	327	2078
136	329	2073
137	331	2068
138	333	2067
139	335	2063
140	337	2055
141	338	2043
142	339	2034
143	340	2026
144	342	2017
145	343	2007
146	344	2001
147	346	1993
148	347	1986
149	349	1979
150	350	1970
151	351	1962
152	352	1953
153	354	1944
154	355	1936
155	356	1928
156	357	1920
157	359	1913
158	360	1905
159	361	1899
160	362	1890
161	364	1883
162	365	1877
163	366	1870
164	368	1864
165	369	1858
166	371	1851
167	373	1847
168	374	1841
169	376	1836
170	377	1830
171	379	1825
172	380	1818
173	381	1811
174	382	1804
175	383	1797
176	384	1790
177	386	1783
178	387	1778
179	389	1775
180	390	1768
181	392	1762
182	393	1755
183	394	1748
184	395	1742
185	396	1735
186	397	1728
187	398	1722
188	400	1716
189	401	1712
190	403	1709
191	404	1703
192	405	1697
193	407	1691
194	408	1685
195	409	1678
196	410	1673
197	411	1667
198	413	1662
199	414	1656
200	416	1656
201	418	1651
202	419	1647
203	420	1642
204	422	1637
205	423	1631
206	424	1625
207	425	1620
208	426	1614
209	427	1609
210	429	1604
211	430	1601
212	432	1597
213	434	1595
214	435	1589
215	436	1584
216	437	1579
217	438	1574
218	439	1569
219	441	1563
220	444	1567
221	448	1570
222	449	1567
223	451	1563
224	452	1559
225	453	1554
226	454	1549
227	456	1544
228	457	1540
229	458	1535
230	459	1531
231	461	1526
232	462	1521
233	463	1517
234	465	1513
235	466	1509
236	468	1507
237	469	1503
238	470	1499
239	472	1494
240	473	1490
241	474	1485
242	475	1481
243	476	1476
244	477	1472
245	478	1467
246	479	1462
247	481	1459
248	482	1456
249	484	1453
250	485	1449
251	486	1444
252	487	1440
253	489	1436
254	490	1431
255	491	1427
256	492	1423
257	493	1419
258	494	1415
259	496	1412
260	497	1408
261	498	1404
262	499	1400
263	500	1396
264	502	1392
265	503	1388
266	504	1384
267	505	1380
268	506	1376
269	508	1373
270	509	1370
271	511	1367
272	512	1364
273	513	1360
274	515	1358
275	516	1354
276	517	1351
277	519	1348
278	520	1346
279	523	1346
280	525	1344
281	527	1341
282	528	1338
283	529	1335
284	530	1331
285	532	1328
286	533	1324
287	534	1321
288	536	1319
289	537	1315
290	538	1312
291	539	1308
292	541	1305
293	542	1302
294	543	1299
295	544	1296
296	546	1292
297	547	1288
298	548	1285
299	549	1282
300	551	1280
301	552	1277
302	553	1274
303	555	1271
304	556	1268
305	558	1266
306	559	1263
