iter	Passed	Remaining
0	2	2559
1	4	2208
2	6	2019
3	7	1935
4	9	1881
5	12	2131
6	14	2073
7	16	2067
8	18	2007
9	21	2159
10	28	2548
11	30	2472
12	32	2448
13	33	2359
14	34	2291
15	36	2231
16	37	2180
17	39	2141
18	43	2233
19	44	2190
20	46	2149
21	47	2119
22	49	2084
23	50	2051
24	51	2019
25	53	2006
26	56	2018
27	58	2027
28	59	1998
29	60	1971
30	62	1956
31	63	1935
32	65	1918
33	67	1906
34	68	1889
35	71	1905
36	72	1892
37	74	1878
38	76	1872
39	77	1866
40	79	1854
41	80	1845
42	82	1829
43	83	1823
44	85	1819
45	87	1805
46	88	1794
47	90	1785
48	91	1773
49	93	1770
50	94	1762
51	96	1754
52	101	1820
53	103	1816
54	104	1803
55	106	1792
56	108	1788
57	109	1785
58	111	1770
59	113	1775
60	114	1765
61	115	1751
62	116	1737
63	117	1723
64	119	1718
65	121	1716
66	123	1720
67	125	1721
68	129	1747
69	131	1745
70	132	1734
71	134	1729
72	137	1748
73	138	1738
74	140	1729
75	141	1722
76	145	1739
77	146	1729
78	147	1723
79	150	1728
80	151	1721
81	153	1717
82	155	1718
83	158	1723
84	160	1723
85	162	1722
86	164	1723
87	165	1719
88	167	1715
89	168	1708
90	170	1705
91	175	1727
92	176	1723
93	178	1718
94	179	1711
95	180	1704
96	182	1697
97	183	1689
98	184	1681
99	188	1697
100	190	1699
101	192	1692
102	193	1685
103	195	1682
104	196	1675
105	198	1675
106	200	1673
107	201	1666
108	203	1665
109	205	1662
110	206	1655
111	207	1647
112	209	1645
113	210	1637
114	214	1648
115	215	1642
116	216	1633
117	218	1632
118	219	1626
119	220	1619
120	222	1614
121	223	1605
122	224	1597
123	228	1617
124	230	1613
125	232	1610
126	233	1605
127	234	1599
128	236	1594
129	237	1588
130	239	1588
131	244	1609
132	246	1609
133	248	1606
134	249	1601
135	251	1596
136	252	1590
137	253	1583
138	256	1588
139	259	1591
140	260	1589
141	262	1583
142	263	1578
143	264	1573
144	265	1568
145	267	1562
146	268	1556
147	272	1568
148	274	1569
149	276	1567
150	277	1561
151	278	1555
152	279	1549
153	280	1543
154	282	1538
155	283	1535
156	287	1541
157	288	1539
158	290	1533
159	291	1528
160	291	1521
161	293	1515
162	294	1509
163	295	1504
164	296	1502
165	298	1499
166	303	1511
167	304	1506
168	305	1502
169	306	1497
170	310	1506
171	311	1501
172	312	1496
173	313	1490
174	316	1491
175	317	1487
176	318	1481
177	319	1477
178	321	1472
179	322	1467
180	323	1464
181	325	1463
182	327	1461
183	332	1473
184	333	1471
185	336	1472
186	343	1495
187	351	1519
188	358	1539
189	360	1538
190	363	1538
191	369	1553
192	370	1550
193	372	1547
194	376	1553
195	378	1552
196	381	1553
197	384	1556
198	386	1554
199	387	1551
200	392	1558
201	396	1564
202	398	1564
203	404	1578
204	408	1583
205	420	1621
206	445	1708
207	447	1705
208	449	1702
209	451	1699
210	453	1696
211	458	1703
212	460	1701
213	464	1706
214	466	1702
215	497	1805
216	499	1801
217	500	1796
218	510	1820
219	512	1816
220	514	1813
221	516	1808
222	524	1828
223	529	1835
224	531	1831
225	536	1836
226	538	1832
227	541	1834
228	547	1841
229	556	1863
230	590	1967
231	594	1969
232	596	1963
233	603	1975
234	605	1971
235	607	1967
236	609	1962
237	615	1971
238	620	1976
239	622	1970
240	624	1966
241	626	1961
242	634	1975
243	642	1989
244	648	1997
245	658	2018
246	666	2031
247	668	2025
248	669	2019
249	671	2014
250	673	2008
251	678	2013
252	683	2019
253	685	2014
254	687	2008
255	689	2002
256	720	2083
257	722	2077
258	727	2081
259	730	2077
260	748	2120
261	750	2113
262	752	2107
263	753	2101
264	759	2105
265	761	2101
266	763	2095
267	764	2088
268	766	2083
269	768	2077
270	772	2079
271	774	2073
272	776	2067
273	779	2064
274	780	2058
275	783	2056
276	797	2081
277	798	2075
278	800	2069
279	804	2068
280	805	2062
281	811	2064
282	812	2058
283	814	2053
284	816	2047
285	820	2047
286	821	2041
287	823	2035
288	825	2030
289	827	2025
290	828	2019
291	840	2037
292	843	2034
293	860	2067
294	862	2061
295	866	2061
296	868	2055
297	870	2051
298	872	2046
299	877	2047
300	878	2041
301	888	2053
302	890	2047
303	892	2043
304	894	2037
305	898	2038
306	900	2033
307	902	2026
308	954	2135
309	956	2129
310	962	2132
311	964	2127
312	966	2122
313	969	2117
314	970	2111
315	977	2115
316	979	2111
317	984	2111
318	992	2118
319	1002	2129
320	1010	2136
321	1014	2136
322	1017	2132
323	1046	2184
324	1048	2178
325	1051	2173
326	1056	2174
327	1060	2173
328	1073	2189
329	1076	2184
330	1077	2178
331	1092	2197
332	1097	2198
333	1100	2193
334	1104	2192
335	1106	2186
336	1108	2180
337	1109	2173
338	1111	2167
339	1113	2161
340	1118	2160
341	1124	2164
342	1127	2159
343	1129	2153
344	1130	2146
345	1132	2140
346	1134	2134
347	1137	2131
348	1139	2125
349	1141	2120
350	1143	2114
351	1147	2111
352	1148	2105
353	1158	2113
354	1162	2112
355	1170	2117
356	1176	2118
357	1177	2112
358	1184	2114
359	1188	2113
360	1190	2107
361	1220	2151
362	1223	2146
363	1237	2161
364	1239	2156
365	1250	2166
366	1252	2159
367	1254	2154
368	1255	2147
369	1260	2146
370	1262	2139
371	1264	2133
372	1269	2134
373	1315	2201
374	1319	2199
375	1324	2198
376	1326	2192
377	1328	2185
378	1329	2178
379	1331	2172
380	1334	2167
381	1335	2161
382	1338	2156
383	1340	2150
384	1341	2143
385	1343	2137
386	1345	2130
387	1346	2124
388	1348	2118
389	1375	2150
390	1377	2144
391	1378	2138
392	1380	2132
393	1389	2137
394	1397	2140
395	1404	2142
396	1428	2169
397	1430	2163
398	1450	2184
399	1452	2178
400	1455	2173
401	1456	2167
402	1461	2164
403	1462	2157
404	1470	2160
405	1510	2210
406	1512	2203
407	1514	2197
408	1516	2190
409	1517	2184
410	1519	2177
411	1520	2170
412	1522	2163
413	1523	2157
414	1528	2154
415	1529	2147
416	1532	2142
417	1534	2136
418	1535	2129
419	1537	2123
420	1539	2116
421	1543	2113
422	1555	2121
423	1559	2118
424	1562	2113
425	1563	2107
426	1565	2100
427	1567	2095
428	1569	2088
429	1571	2082
430	1574	2078
431	1609	2116
432	1611	2110
433	1613	2103
434	1615	2097
435	1617	2091
436	1621	2088
437	1624	2084
438	1626	2078
439	1628	2072
440	1629	2065
441	1631	2059
442	1632	2053
443	1637	2050
444	1638	2043
445	1640	2038
446	1642	2032
447	1644	2026
448	1690	2074
449	1692	2068
450	1693	2061
451	1706	2069
452	1708	2063
453	1709	2056
454	1711	2050
455	1713	2043
456	1717	2040
457	1719	2034
458	1723	2031
459	1725	2025
460	1729	2022
461	1734	2019
462	1739	2017
463	1740	2011
464	1750	2013
465	1751	2007
466	1762	2011
467	1767	2009
468	1773	2007
469	1775	2001
470	1777	1996
471	1779	1990
472	1781	1984
473	1783	1978
474	1798	1987
475	1804	1986
476	1805	1980
477	1808	1974
478	1809	1968
479	1811	1962
480	1813	1956
481	1816	1952
482	1819	1947
483	1823	1944
484	1825	1938
485	1827	1932
486	1828	1926
487	1830	1920
488	1832	1914
489	1834	1908
490	1835	1902
491	1837	1897
492	1840	1892
493	1842	1887
494	1845	1882
495	1846	1876
496	1861	1884
497	1865	1880
498	1870	1878
499	1873	1873
500	1877	1870
501	1879	1864
502	1882	1859
503	1883	1853
504	1885	1847
505	1886	1842
506	1888	1836
507	1892	1832
508	1894	1827
509	1896	1821
510	1897	1815
511	1899	1810
512	1917	1820
513	1919	1814
514	1920	1808
515	1922	1803
516	1925	1799
517	1927	1793
518	1929	1787
519	1930	1782
520	1933	1777
521	1936	1773
522	1938	1767
523	1939	1762
524	1942	1757
525	1943	1751
526	1945	1746
527	1947	1741
528	1977	1760
529	1979	1755
530	1980	1749
531	1986	1747
532	1988	1742
533	1990	1736
534	1992	1731
535	1993	1726
536	1995	1720
537	2000	1717
538	2001	1712
539	2004	1707
540	2005	1701
541	2007	1696
542	2008	1690
543	2010	1685
544	2012	1679
545	2053	1707
546	2054	1701
547	2085	1719
548	2086	1714
549	2089	1709
550	2090	1703
551	2098	1703
552	2119	1713
553	2121	1708
554	2123	1702
555	2138	1707
556	2151	1710
557	2154	1706
558	2155	1700
559	2156	1694
560	2162	1692
561	2165	1687
562	2187	1698
563	2190	1693
564	2193	1688
565	2195	1683
566	2197	1677
567	2198	1672
568	2200	1666
569	2201	1661
570	2203	1655
571	2207	1651
572	2209	1646
573	2210	1640
574	2212	1635
575	2214	1630
576	2216	1624
577	2229	1627
578	2231	1622
579	2232	1616
580	2234	1611
581	2236	1606
582	2238	1601
583	2242	1597
584	2243	1591
585	2248	1588
586	2251	1584
587	2253	1578
588	2255	1573
589	2257	1568
590	2258	1563
591	2260	1557
592	2262	1552
593	2272	1553
594	2273	1547
595	2276	1543
596	2279	1538
597	2284	1535
598	2285	1530
599	2287	1525
600	2289	1519
601	2290	1514
602	2292	1509
603	2294	1504
604	2298	1500
605	2300	1495
606	2302	1490
607	2303	1485
608	2305	1480
609	2316	1481
610	2318	1476
611	2319	1470
612	2321	1465
613	2323	1460
614	2327	1457
615	2329	1452
616	2331	1447
617	2333	1442
618	2335	1437
619	2337	1432
620	2338	1427
621	2341	1423
622	2343	1418
623	2345	1413
624	2347	1408
625	2352	1405
626	2354	1400
627	2356	1396
628	2358	1391
629	2360	1386
630	2362	1381
631	2364	1376
632	2367	1372
633	2372	1369
634	2374	1364
635	2376	1360
636	2378	1355
637	2380	1350
638	2382	1345
639	2384	1341
640	2387	1337
641	2389	1332
642	2391	1327
643	2393	1322
644	2394	1318
645	2397	1313
646	2399	1309
647	2400	1304
648	2402	1299
649	2404	1294
650	2407	1290
651	2408	1285
652	2415	1283
653	2416	1278
654	2420	1274
655	2421	1269
656	2423	1265
657	2425	1260
658	2429	1256
659	2430	1252
660	2432	1247
661	2433	1242
662	2436	1238
663	2438	1233
664	2440	1229
665	2443	1225
666	2444	1220
667	2446	1215
668	2453	1213
669	2454	1209
670	2457	1205
671	2459	1200
672	2460	1195
673	2462	1191
674	2466	1187
675	2478	1188
676	2485	1185
677	2489	1182
678	2490	1177
679	2492	1172
680	2494	1168
681	2495	1163
682	2497	1159
683	2499	1154
684	2500	1150
685	2506	1147
686	2508	1143
687	2510	1138
688	2512	1133
689	2513	1129
690	2515	1124
691	2517	1120
692	2519	1116
693	2522	1112
694	2524	1107
695	2525	1103
696	2529	1099
697	2531	1095
698	2537	1092
699	2539	1088
700	2540	1083
701	2542	1079
702	2556	1080
703	2559	1075
704	2560	1071
705	2572	1071
706	2576	1067
707	2579	1063
708	2585	1061
709	2587	1056
710	2588	1052
711	2590	1047
712	2592	1043
713	2600	1041
714	2604	1038
715	2606	1033
716	2616	1032
717	2617	1028
718	2619	1023
719	2621	1019
720	2638	1020
721	2639	1016
722	2641	1011
723	2645	1008
724	2647	1004
725	2649	999
726	2651	995
727	2653	991
728	2654	986
729	2656	982
730	2661	979
731	2663	975
732	2665	970
733	2667	966
734	2669	962
735	2670	957
736	2679	956
737	2681	951
738	2682	947
739	2684	943
740	2685	938
741	2687	934
742	2692	931
743	2695	927
744	2702	925
745	2706	921
746	2708	917
747	2710	913
748	2712	909
749	2714	904
750	2715	900
751	2717	896
752	2730	895
753	2732	891
754	2734	887
755	2737	883
756	2739	879
757	2741	875
758	2743	871
759	2745	866
760	2747	862
761	2748	858
762	2750	854
763	2752	850
764	2755	846
765	2757	842
766	2758	838
767	2760	833
768	2761	829
769	2768	827
770	2770	822
771	2772	818
772	2773	814
773	2775	810
774	2776	806
775	2778	801
776	2779	797
777	2782	793
778	2784	789
779	2795	788
780	2804	786
781	2806	782
782	2808	778
783	2810	774
784	2815	771
785	2817	767
786	2819	763
787	2820	758
788	2822	754
789	2824	750
790	2825	746
791	2830	743
792	2831	739
793	2833	735
794	2835	731
795	2836	726
796	2838	722
797	2842	719
798	2843	715
799	2845	711
800	2848	707
801	2849	703
802	2851	699
803	2854	695
804	2857	692
805	2859	688
806	2860	684
807	2862	680
808	2863	676
809	2865	672
810	2866	668
811	2869	664
